ROI#,Label,Region
1,SFG_L,Superior frontal gyrus left
2,SFG_R,Superior frontal gyrus right
3,SFG_PFC_L,Superior frontal gyrus (prefrontal cortex) left
4,SFG_PFC_R,Superior frontal gyrus (prefrontal cortex) right
5,SFG_pole_L,superior frontal gyrus (frontal pole) left
6,SFG_pole_R,superior frontal gyrus (frontal pole) right
7,MFG_L,Middle frontal gyrus left
8,MFG_R,Middle frontal gyrus right
9,MFG_DPFC_L,Middle frontal gyrus (dorsal prefrontal cortex) left
10,MFG_DPFC_R,Middle frontal gyrus (dorsal prefrontal cortex) right
11,IFG_opercularis_L,Inferior frontal gyrus pars opercularis left
12,IFG_opercularis_R,Inferior frontal gyrus pars opercularis right
13,IFG_orbitalis_L,Inferior frontal gyrus pars orbitralis left
14,IFG_orbitalis_R,Inferior frontal gyrus pars orbitralis right
15,IFG_triangularis_L,Inferior frontal gyrus pars triangularis left
16,IFG_triangularis_R,Inferior frontal gyrus pars triangularis right
17,LFOG_L,Lateral fronto-orbital gyrus left
18,LFOG_R,Lateral fronto-orbital gyrus right
19,MFOG_L,Middle fronto-orbital gyrus
20,MFOG_R,Middle fronto-orbital gyrus right
21,RG_L,Gyrus rectus left
22,RG_R,Gyrus rectus right
23,PoCG_L,Postcentral gyrus left
24,PoCG_R,Postcentral gyrus right
25,PrCG_L,Precentral gyrus left
26,PrCG_R,Precentral gyrus right
27,SPG_L,Superior parietal gyrus left
28,SPG_R,Superior parietal gyrus right
29,SMG_L,Supramarginal gyrus
30,SMG_R,Supramarginal gyrus right
31,AG_L,Angular gyrus left
32,AG_R,Angular gyrus right
33,PrCu_L,Pre-cuneus left
34,PrCu_R,Pre-cuneus right
35,STG_L,Superior temporal gyrus left
36,STG_R,Superior temporal gyrus right
37,STG_pole_L,Pole of the superior temporal gyrus left
38,STG_pole_R,Pole of the superior temporal gyrus right
39,MTG_L,Middle temporal gyrus left
40,MTG_R,Middle temporal gyrus right
41,MTG_pole_L,Pole of the middle temporal gyrus left
42,MTG_pole_R,Pole of the middle temporal gyrus right
43,ITG_L,Inferior temporal gyrus left
44,ITG_R,Inferior temporal gyrus right
45,PHG_L,Parahippocampal gyrus left
46,PHG_R,Parahippocampal gyrus right
47,ENT_L,Entorhinal area left
48,ENT_R,Entorhinal area right
49,FuG_L,Fusiform gyrus left
50,FuG_R,Fusiform gyrus right
51,SOG_L,Superior occipital gyrus left
52,SOG_R,Superior occipital gyrus right
53,MOG_L,Middle occipital gyrus left
54,MOG_R,Middle occipital gyrus right
55,IOG_L,Inferior occipital gyrus left
56,IOG_R,Inferior occipital gyrus right
57,Cu_L,Cusneus left
58,Cu_R,Cusneus right
59,LG_L,Lingual gyrus left
60,LG_R,Lingual gyrus right
61,rostral_ACC_L,Rostral anterior cingulate gyrus left
62,rostral_ACC_R,Rostral anterior cingulate gyrus right
63,subcallosal_ACC_L,Subcallosal anterior cingulate gyrus left
64,subcallosal_ACC_R,Subcallosal anterior cingulate gyrus right
65,subgenual_ACC_L,Subgenual anterior cingulate gyrus left
66,subgenual_ACC_R,Subgenual anterior cingulate gyrus right
